rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,disabled
420,42,University of Illinois at Urbana-Champaign,77.9,420,69.5,45,81.5,31,85.2,206,85.3,206,64,503,public,0,495,United States,"50,250",19.6,23%,51:49:00,35%,University of Illinois at Urbana-Champaign,"Computer Science,Mathematics & Statistics,Education,Architecture,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Biological Sciences,Psychology,General Engineering,Chemistry,Business & Management,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),Archaeology,Veterinary Science,Law,Medicine & Dentistry,Sport Science,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Agriculture & Forestry,Geography",FALSE
430,43,Shanghai Jiao Tong University,77.7,430,76.6,29,82.5,30,75.4,433,100,24,60.6,573,master_account,0,801,China,"38,472",12.6,9%,37 : 63,31%,Shanghai Jiao Tong University SJTU,"Other Health,Medicine & Dentistry,Education,Business & Management,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Chemistry,Biological Sciences,Psychology,History, Philosophy & Theology,Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Mathematics & Statistics,Law,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Computer Science,Economics & Econometrics,Chemical Engineering,Accounting & Finance,Sport Science,Architecture,General Engineering,Physics & Astronomy",FALSE
440,44,Fudan University,77.5,440,76.5,30,75.3,43,83.5,246,96,104,56.1,659,master_account,0,700,China,"38,101",12.6,9%,52:48:00,24%,Fudan University,"Archaeology,Other Health,Physics & Astronomy,Economics & Econometrics,General Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,Communication & Media Studies,Mechanical & Aerospace Engineering,Education,Languages, Literature & Linguistics,Biological Sciences,Psychology,Computer Science,Sociology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies)",FALSE
450,45,KU Leuven,77,450,60.1,72,74.9,48,91.9,95,100,13,79.6,260,master_account,0,531,Belgium,"49,435",37.3,19%,52:48:00,23%,KU Leuven,"Other Health,Chemistry,Accounting & Finance,Architecture,Agriculture & Forestry,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Sport Science,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Business & Management,General Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Law,Computer Science,Chemical Engineering,Sociology,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Biological Sciences,Education",FALSE
460,46,London School of Economics and Political Science,76.8,460,59.5,77,73.5,49,95.4,46,55.9,716,94.1,63,master_account,0,511,United Kingdom,"11,945",12.6,72%,56:44:00,15%,London School of Economics and Political Science,"History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Geography,Economics & Econometrics,Accounting & Finance,Languages, Literature & Linguistics,Law,Sociology,Geology, Environmental, Earth & Marine Sciences,Psychology,Business & Management,Mathematics & Statistics,Communication & Media Studies",FALSE
470,47,Universität Heidelberg,76.7,470,67.7,49,64.3,69,94.6,51,99.3,66,76.4,305,master_account,11,537,Germany,"19,315",13.3,20%,55:45:00,20%,Universität Heidelberg,"Archaeology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Education,History, Philosophy & Theology,Geography,Other Health,Sociology,Mathematics & Statistics,Economics & Econometrics,Sport Science,Psychology,Computer Science,Law,Physics & Astronomy,Art, Performing Arts & Design,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemistry",FALSE
480,48,Delft University of Technology,76.3,480,66.7,51,78.2,36,76.5,405,100,5,92.8,86,master_account,0,568,Netherlands,"21,262",15.9,30%,31 : 69,50%,Delft University of Technology,"Mechanical & Aerospace Engineering,Education,Electrical & Electronic Engineering,Chemistry,Art, Performing Arts & Design,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,General Engineering,Mathematics & Statistics,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Business & Management,Other Health,Sport Science,Architecture,Communication & Media Studies,History, Philosophy & Theology,Biological Sciences,Geography",FALSE
490,49,McGill University,76,490,62.3,68,72.3,53,88.8,141,76.1,315,92.5,93,master_account,11,492,Canada,"30,821",11.9,29%,61:39:00,22%,McGill University,"Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Biological Sciences,Geography,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,History, Philosophy & Theology,Sport Science,Law,Computer Science,Mathematics & Statistics,Education,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Sociology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Economics & Econometrics,Architecture,Chemical Engineering,Psychology",FALSE
500,50,Karolinska Institute,75.9,500,58.9,82,67.9,56,95.3,48,96,106,85.7,182,master_account,0,496,Sweden,"8,085",9.9,27%,70:30:00,4%,Karolinska Institute,"Medicine & Dentistry,Chemical Engineering,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Education,Sociology,Languages, Literature & Linguistics,Psychology,Business & Management",FALSE
510,51,University of Manchester,75.6,510,61.4,69,67.1,60,93.1,74,73.1,367,95.6,37,master_account,11,512,United Kingdom,"40,725",15.6,45%,56:44:00,26%,University of Manchester,"Archaeology,Chemical Engineering,Psychology,Languages, Literature & Linguistics,General Engineering,Geography,Education,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,Chemistry,Computer Science,Biological Sciences,Architecture,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Law,Civil Engineering,Physics & Astronomy,Accounting & Finance,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences",FALSE
520,52,University of Texas at Austin,75.5,520,66,54,75.7,42,91,109,81.4,247,47.3,883,public,0,493,United States,"48,558",16.4,8%,55:45:00,36%,University of Texas at Austin,"General Engineering,Law,Archaeology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,Languages, Literature & Linguistics,Chemical Engineering,Education,Art, Performing Arts & Design,Computer Science,Geography,Medicine & Dentistry,Physics & Astronomy,Business & Management,Architecture,Sport Science,Sociology,Civil Engineering,Communication & Media Studies,Accounting & Finance,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics",FALSE
530,53,The Chinese University of Hong Kong,75.4,530,59.1,80,61.5,80,97.6,21,95.9,107,93.6,69,master_account,11,662356,Hong Kong,"18,290",18.8,25%,,25%,The Chinese University of Hong Kong CUHK,"Languages, Literature & Linguistics,Architecture,Computer Science,Mechanical & Aerospace Engineering,Sport Science,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Mathematics & Statistics,Education,Accounting & Finance,Other Health,Chemistry,Electrical & Electronic Engineering,Biological Sciences,Psychology,Law,Economics & Econometrics,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Geography,History, Philosophy & Theology,Sociology,Art, Performing Arts & Design,Business & Management",FALSE
540,54,Monash University,75.2,540,55.3,96,67.8,58,94.7,50,99.7,48,91.1,116,master_account,0,581,Australia,"58,460",43.1,38%,56:44:00,21%,Monash University,"Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics,General Engineering,Chemistry,Psychology,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Business & Management,Architecture,Veterinary Science,Law,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemical Engineering,Communication & Media Studies,Other Health,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,Sociology,Archaeology,Biological Sciences,Education,Art, Performing Arts & Design,Computer Science,Sport Science,Geography",FALSE
550,55,Kyoto University,75,550,85.4,21,84.3,27,60,781,100,14,45.7,942,master_account,0,516,Japan,"21,817",9,11%,25 : 75,32%,Kyoto University,"Mathematics & Statistics,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Psychology,Computer Science,Biological Sciences,History, Philosophy & Theology,Law,Electrical & Electronic Engineering,Architecture,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Accounting & Finance,Agriculture & Forestry,Geography,Other Health,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemical Engineering,Sociology,Sport Science,General Engineering,Business & Management,Communication & Media Studies",FALSE
560,55,Zhejiang University,75,560,70.2,42,75.3,45,78.7,350,99,69,65.5,476,master_account,11,815,China,"48,169",12,16%,,32%,Zhejiang University ZJU Zhejiang University China research,"Other Health,Physics & Astronomy,Business & Management,Architecture,Veterinary Science,Law,History, Philosophy & Theology,Biological Sciences,Education,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sport Science,Geography,General Engineering,Chemistry,Accounting & Finance,Medicine & Dentistry,Agriculture & Forestry,Sociology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Psychology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Civil Engineering,Communication & Media Studies,Archaeology,Chemical Engineering,Politics & International Studies (incl Development Studies)",FALSE
570,57,University of Science and Technology of China,74.8,570,74.3,34,66.3,62,88.2,152,95.6,112,45.4,953,master_account,11,656,China,"20,252",8.1,5%,,43%,University of Science and Technology of China USTC China University of Science and Technology,"History, Philosophy & Theology,Physics & Astronomy,Communication & Media Studies,Mathematics & Statistics,Archaeology,Biological Sciences,Computer Science,Accounting & Finance,Chemistry,Chemical Engineering,Languages, Literature & Linguistics,Other Health,Law,Economics & Econometrics,Electrical & Electronic Engineering,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE
580,58,Université Paris-Saclay,74.4,580,70.9,40,66.1,63,82.4,277,92.4,140,78.6,277,master_account,0,699920,France,"31,662",13,24%,50:50:00,35%,Université Paris-Saclay,"Chemical Engineering,Accounting & Finance,Biological Sciences,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Chemistry,Economics & Econometrics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mathematics & Statistics,Sociology,Other Health,Physics & Astronomy,Computer Science,Sport Science,Law,Architecture,Agriculture & Forestry,Education,General Engineering,Communication & Media Studies,History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE
590,59,"University of California, Davis",74.1,590,63.7,61,67.8,57,87.2,170,91.5,147,78.7,272,public,0,503,United States,"37,926",13.3,18%,60:40:00,22%,"University of California, Davis","Mathematics & Statistics,Architecture,History, Philosophy & Theology,Law,Civil Engineering,Chemical Engineering,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sociology,Physics & Astronomy,Medicine & Dentistry,Mechanical & Aerospace Engineering,General Engineering,Archaeology,Geography,Veterinary Science,Other Health,Psychology,Biological Sciences,Chemistry,Accounting & Finance,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies,Education,Sport Science,Art, Performing Arts & Design,Agriculture & Forestry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences",FALSE
600,60,The University of Sydney,73.8,600,52.6,115,68.9,54,92,93,97.7,91,90.2,127,master_account,1,522,Australia,"57,414",23.1,51%,58:42:00,18%,The University of Sydney UniSyd,"Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Architecture,Veterinary Science,Business & Management,Art, Performing Arts & Design,Agriculture & Forestry,Law,Computer Science,Mathematics & Statistics,Psychology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Chemistry,Accounting & Finance,Electrical & Electronic Engineering,Physics & Astronomy,Education,Archaeology,Chemical Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Geography,General Engineering,Sport Science,Sociology",FALSE
610,61,University of Amsterdam,73.6,610,55,99,63.1,74,96.7,33,77.6,292,93.2,80,master_account,1,556,Netherlands,"28,649",13.2,36%,60:40:00,16%,University of Amsterdam uva,"Computer Science,Other Health,History, Philosophy & Theology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Psychology,Communication & Media Studies,Economics & Econometrics,Law,Biological Sciences,Sociology,Languages, Literature & Linguistics,Education,Geography,Mathematics & Statistics,Business & Management,Physics & Astronomy,Chemistry,Archaeology,Accounting & Finance,Medicine & Dentistry",FALSE
620,62,Seoul National University,73.4,620,74.2,35,75.3,44,74.6,452,100,23,43.7,1000,master_account,0,588,South Korea,"28,620",16.1,13%,,26%,Seoul National University,"Medicine & Dentistry,Archaeology,Physics & Astronomy,Psychology,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Veterinary Science,Law,General Engineering,Chemical Engineering,Geography,Art, Performing Arts & Design,Agriculture & Forestry,Education,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sport Science,Accounting & Finance,Architecture,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Biological Sciences,Business & Management,Civil Engineering,Mechanical & Aerospace Engineering,Communication & Media Studies,Mathematics & Statistics,Economics & Econometrics",FALSE
630,63,University of Wisconsin-Madison,73.3,630,68.5,46,67.5,59,85.5,200,79.8,267,62.8,527,public,0,491,United States,"41,209",9.9,13%,,24%,University of Wisconsin-Madison,"Civil Engineering,Geography,Medicine & Dentistry,Law,Mathematics & Statistics,Communication & Media Studies,Accounting & Finance,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology,Physics & Astronomy,General Engineering,Electrical & Electronic Engineering,Sport Science,Veterinary Science,Chemistry,Politics & International Studies (incl Development Studies),Business & Management,Agriculture & Forestry,Biological Sciences,Computer Science,Chemical Engineering,Psychology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Education,Architecture,Economics & Econometrics,Sociology",FALSE
640,64,Brown University,73,640,69.8,43,59.6,87,89.7,130,69.3,449,72.1,375,private,0,513,United States,"9,781",10.3,19%,,17%,Brown University,"General Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Architecture,Physics & Astronomy,Business & Management,History, Philosophy & Theology,Electrical & Electronic Engineering,Education,Chemical Engineering,Sociology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Psychology,Medicine & Dentistry,Chemistry,Archaeology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Mathematics & Statistics,Computer Science,Politics & International Studies (incl Development Studies)",FALSE
650,64,The Hong Kong University of Science and Technology,73,650,54,105,62.1,76,92.9,77,100,10,95.5,40,master_account,11,526,Hong Kong,"9,794",19.9,30%,,44%,The Hong Kong University of Science and Technology hkust,"Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Other Health,Chemical Engineering,Economics & Econometrics,General Engineering,Sociology,Chemistry",FALSE
660,64,Wageningen University & Research,73,660,56.4,90,59.8,85,93.8,63,98.8,74,92.4,96,master_account,0,540,Netherlands,"15,899",18.1,28%,54:46:00,28%,Wageningen University & Research,"Other Health,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Chemistry,Biological Sciences,Chemical Engineering,Sociology,Agriculture & Forestry,Business & Management,Communication & Media Studies",FALSE
670,67,Australian National University,72.6,670,55.9,91,68,55,86.6,180,82,238,94.8,51,master_account,11,502,Australia,"17,293",15.1,48%,52:48:00,29%,Australian National University anu,"Communication & Media Studies,History, Philosophy & Theology,Psychology,Languages, Literature & Linguistics,Computer Science,Biological Sciences,Archaeology,Civil Engineering,Accounting & Finance,Mathematics & Statistics,Sociology,Electrical & Electronic Engineering,Law,Chemistry,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Agriculture & Forestry,General Engineering,Politics & International Studies (incl Development Studies),Geography,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Business & Management",FALSE
680,68,Washington University in St Louis,72.3,680,60.8,71,57.2,101,97.5,24,77.8,291,72.7,368,private,0,505,United States,"13,825",7.3,22%,52:48:00,12%,Washington University in St Louis,"Computer Science,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Other Health,Business & Management,Education,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Economics & Econometrics,Accounting & Finance,Sociology,Law,Politics & International Studies (incl Development Studies),Biological Sciences,Mechanical & Aerospace Engineering,General Engineering,Languages, Literature & Linguistics,Architecture,Chemical Engineering,Chemistry,Medicine & Dentistry,Archaeology,Physics & Astronomy",FALSE
690,69,"University of California, Santa Barbara",72.1,690,47.4,167,64.7,68,96.9,29,99.4,64,84,201,public,0,499,United States,"25,540",27.5,18%,54:46:00,39%,"University of California, Santa Barbara","Sociology,Geography,Chemistry,Mechanical & Aerospace Engineering,Biological Sciences,Education,Electrical & Electronic Engineering,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Psychology,Veterinary Science,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology,Chemical Engineering,Mathematics & Statistics,Accounting & Finance,Architecture,Physics & Astronomy,Economics & Econometrics,Computer Science,Communication & Media Studies",FALSE
700,70,The University of Queensland,72,700,52.9,113,64.3,70,89.1,136,99.8,43,94,64,master_account,11,538,Australia,"42,847",39.1,42%,55:45:00,21%,The University of Queensland UQ UOQ,"Art, Performing Arts & Design,Chemical Engineering,Politics & International Studies (incl Development Studies),Other Health,Physics & Astronomy,Law,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Chemistry,Economics & Econometrics,Medicine & Dentistry,Agriculture & Forestry,Education,General Engineering,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Biological Sciences,Sociology,History, Philosophy & Theology,Sport Science,Business & Management,Archaeology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Computer Science,Veterinary Science,Geography",FALSE
710,71,Institut Polytechnique de Paris,71.3,710,71,39,61.6,79,70.8,543,98.8,71,97.1,21,master_account,0,688843,France,"6,073",6.8,42%,25 : 75,47%,Institut Polytechnique de Paris,"Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Education,Languages, Literature & Linguistics,Communication & Media Studies,Medicine & Dentistry,Other Health,Physics & Astronomy,Chemical Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Accounting & Finance,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Sociology,Computer Science,Biological Sciences,Business & Management,Chemistry",FALSE
720,72,University of North Carolina at Chapel Hill,71.2,720,63.4,64,60.3,83,93.9,60,75.8,321,50.9,777,public,0,507,United States,"30,782",7.7,8%,60:40:00,12%,University of North Carolina at Chapel Hill,"Computer Science,Accounting & Finance,Art, Performing Arts & Design,Chemistry,Psychology,Physics & Astronomy,Languages, Literature & Linguistics,Sport Science,Sociology,Geography,Geology, Environmental, Earth & Marine Sciences,Business & Management,Agriculture & Forestry,Mathematics & Statistics,History, Philosophy & Theology,Other Health,Law,General Engineering,Education,Economics & Econometrics,Archaeology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Biological Sciences,Medicine & Dentistry",FALSE
730,73,Nanjing University,70.9,730,64,59,61.7,78,85.3,203,96.8,97,61.8,545,master_account,0,727,China,"36,711",16.7,8%,54:46:00,41%,Nanjing University,"Archaeology,Architecture,Sociology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Business & Management,Computer Science,Biological Sciences,Law,Languages, Literature & Linguistics,Communication & Media Studies,Psychology,Art, Performing Arts & Design,Chemical Engineering,Education,Other Health,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,Geography,Medicine & Dentistry,Physics & Astronomy,Mathematics & Statistics",FALSE
740,74,University of Southern California,70.8,740,59.2,79,58.8,90,92.5,85,74.4,345,74.3,346,private,0,519,United States,"44,083",14.2,24%,49:51:00,20%,University of Southern California,"Mathematics & Statistics,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Psychology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Mechanical & Aerospace Engineering,Agriculture & Forestry,Archaeology,Business & Management,Chemistry,Computer Science,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Law,Geography,Chemical Engineering,Medicine & Dentistry,Sport Science,Sociology,Communication & Media Studies,General Engineering,Accounting & Finance,Education,Electrical & Electronic Engineering,Architecture,Civil Engineering,History, Philosophy & Theology,Biological Sciences",FALSE
750,75,Sorbonne University,70.5,750,64.7,58,60.8,81,83.7,242,69.5,444,78.8,270,master_account,0,644699,France,"41,527",14.5,22%,60:40:00,32%,Sorbonne University,"Biological Sciences,General Engineering,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Geography,Other Health,Mechanical & Aerospace Engineering,Sociology,Education,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemical Engineering,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Archaeology,Chemistry,Communication & Media Studies,Medicine & Dentistry,Physics & Astronomy",FALSE
760,76,Yonsei University (Seoul campus),70.4,760,68.1,47,64.3,71,79.3,339,99.9,39,51.8,749,master_account,0,622314,South Korea,"18,961",13.9,17%,49:51:00,21%,Yonsei University (Seoul campus),"Business & Management,Civil Engineering,Chemistry,Medicine & Dentistry,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Communication & Media Studies,Education,Physics & Astronomy,Languages, Literature & Linguistics,General Engineering,History, Philosophy & Theology,Chemical Engineering,Architecture,Mathematics & Statistics,Psychology,Other Health,Sociology,Economics & Econometrics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Accounting & Finance,Biological Sciences,Sport Science,Law",FALSE
770,77,Leiden University,70.2,770,46,189,62.7,75,93,75,98.1,87,87.8,154,master_account,6,543,Netherlands,"35,072",19.3,21%,60:40:00,24%,Leiden University,"Politics & International Studies (incl Development Studies),Other Health,Law,History, Philosophy & Theology,Communication & Media Studies,Languages, Literature & Linguistics,Physics & Astronomy,Art, Performing Arts & Design,Mathematics & Statistics,Computer Science,Education,Chemistry,Biological Sciences,Psychology,Medicine & Dentistry,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences",FALSE
780,78,Boston University,70.1,780,59.6,76,54.1,115,94.3,56,76.4,311,74.1,348,private,0,518,United States,"26,677",10.8,29%,58:42:00,16%,Boston University,"Electrical & Electronic Engineering,Architecture,Mathematics & Statistics,Accounting & Finance,Medicine & Dentistry,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,General Engineering,Law,Archaeology,Sociology,History, Philosophy & Theology,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Psychology,Business & Management,Physics & Astronomy,Computer Science,Art, Performing Arts & Design,Education,Geology, Environmental, Earth & Marine Sciences,Geography,Other Health,Economics & Econometrics",FALSE
790,79,University of Groningen,70,790,47.5,165,57.2,100,94.5,52,99.9,30,93.4,75,master_account,11,598,Netherlands,"31,942",28.8,29%,53:47:00,17%,University of Groningen,"Archaeology,Communication & Media Studies,Geography,History, Philosophy & Theology,Mathematics & Statistics,Psychology,Politics & International Studies (incl Development Studies),Education,Chemical Engineering,Accounting & Finance,Computer Science,Sociology,General Engineering,Physics & Astronomy,Law,Other Health,Biological Sciences,Economics & Econometrics,Medicine & Dentistry,Chemistry,Business & Management,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",FALSE
800,80,University of Zurich,69.9,800,54.8,103,53.4,121,91.8,96,93.7,131,92.4,97,master_account,0,525,Switzerland,"25,608",14.7,24%,58:42:00,19%,University of Zurich,"Business & Management,Accounting & Finance,Veterinary Science,Physics & Astronomy,Sociology,Education,Chemistry,Geography,Archaeology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Biological Sciences,Other Health,Communication & Media Studies,Law,Computer Science,Agriculture & Forestry,Art, Performing Arts & Design,Psychology,Economics & Econometrics,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Medicine & Dentistry",FALSE
810,81,University of Bristol,69.8,810,48.7,148,56.5,105,97.3,26,72.3,378,92.5,91,master_account,11,530,United Kingdom,"27,335",14.8,31%,55:45:00,27%,University of Bristol,"Archaeology,Veterinary Science,Accounting & Finance,Civil Engineering,Geography,Other Health,Mathematics & Statistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Chemistry,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Education,Electrical & Electronic Engineering,Sociology,Business & Management,Art, Performing Arts & Design,Biological Sciences,Psychology,History, Philosophy & Theology,Physics & Astronomy",FALSE
820,82,City University of Hong Kong,69.3,820,52.2,116,52.4,124,91.1,105,100,4,98.7,2,master_account,11,657,Hong Kong,"9,076",13.2,67%,54:46:00,39%,City University of Hong Kong CityU HK,"Law,Art, Performing Arts & Design,Electrical & Electronic Engineering,Architecture,Accounting & Finance,Chemistry,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemical Engineering,Physics & Astronomy,Business & Management,Economics & Econometrics,Veterinary Science,Sociology,Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Computer Science,Psychology,Communication & Media Studies",FALSE
830,83,Korea Advanced Institute of Science and Technology (KAIST),69.2,830,67.1,50,65.8,64,77.4,383,100,12,41.6,1066,master_account,0,558,South Korea,"10,130",10.7,8%,0.929861111,40%,Korea Advanced Institute of Science and Technology (KAIST),"History, Philosophy & Theology,Chemistry,Mathematics & Statistics,Computer Science,Law,Education,Sport Science,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Accounting & Finance,Biological Sciences,Psychology,General Engineering,Art, Performing Arts & Design,Architecture,Archaeology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Veterinary Science,Medicine & Dentistry,Chemical Engineering,Languages, Literature & Linguistics,Business & Management,Other Health,Sociology",FALSE
